User,Date Created,Number of Likes,Source of Tweet,Tweet
ThanthiTV,2022-06-02 23:59:59+00:00,23,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","""First Day FDFS...வந்ததே அவருக்காக தான்"" - படம் பார்க்கும் ரசிகர்கள் உற்சாகம் 
#vikram #kamalhaasan #vijaysethupathi #fahadhfaasil #lokeshkanagaraj #fdfs 
https://t.co/pOUEPQSnaW"
lichengriff,2022-06-02 23:59:59+00:00,4,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Love the US military. Love when they spend all hours of the day flying taxpayer-funded jets over the building where I take classes. Protecting us from the dire threat of peace and quiet. Defending our god given right to unholy amounts of noise pollution
calma_day,2022-06-02 23:59:59+00:00,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@jubs_SLima Tô ligada e sussa dms kk
MarloCk999,2022-06-02 23:59:59+00:00,19,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@KT_199923 @FandomMenaceLs Reads like someone who spent years watching all of those bogus ""Kathleen Kennedy is getting fired any day now"" rumor videos on YouTube."
geo_east,2022-06-02 23:59:59+00:00,1,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@ChuckWurster We have to work every day to “live” bro.
Frisenette,2022-06-02 23:59:59+00:00,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@LegendOfMI EGA any day!
CarineBouton,2022-06-02 23:59:59+00:00,8,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Last day of our in house trip! Carnival, crepes, VR/ #Minecraft challenge and more! @JamesPHodgkins @atlantaSTEAM @AISLearns Dernier jour de voyage avec au programme des crêpes, une mini fête foraine et +! @fredatlanta @Mlfpedagogie @HermineMorrell @Mlf_america @edith_aubin https://t.co/8XhuDRzxbD"
sweetlittleeci,2022-06-02 23:59:59+00:00,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@twistbluesky morning, have a nice day too!!"
BickinBooks,2022-06-02 23:59:58+00:00,0,"<a href=""https://twitter.com/managerope1"" rel=""nofollow"">Bickin_Ebooks</a>",Yuna was young! He could do not that day… They let the past.
Giuseppe199720,2022-06-02 23:59:58+00:00,1,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Love that the Cardinals-Cubs game is the MLB free game of day, but i’m still blacked out from watching it 😒."
